Author,Source,File Name,Name,Incipit
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-267-ar.txt,,ايها الحبيب قد رتلت آيات شكرك لله بما وفقك علي السلوك في سبيل الهدي و كشف عنك غطايك و
Abdu'l-Bahá,۲ مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mha2-103-fa.txt,,هو الله ايتها المتيقظة بنسمة الله و المهتزة بنفحات الله قد اطلعت بمضمون نميقتك الغراء و فرح قلبي بمضامينه
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-326-fa.txt,,هو الله اي بنده بها شكر كن خدا را كه به مراد فؤاد رسيدي و در سبيل رشاد سلوك
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-477-fa.txt,,از تغيير و تبديل در مأمورين سفارت عظمي مرقوم نموده بوديد اميد است كه سروران جديد در تمشيت مهام
Abdu'l-Bahá,مجموعه مناجاتها حضرت عبدالبهاء,abdulbaha-monajat-457-fa.txt,,هو الله اي پروردگار اين نفس پاك توجه به ملكوت تو نمود و تضرع و زاري كرد تا حال
Abdu'l-Bahá,مجموعه مناجاتها حضرت عبدالبهاء,abdulbaha-monajat-306-fa.txt,,هو الله اللهم يا هادي الضالين الي المنهج القويم و يا دال الظالين الي صراط المستقيم و يا مؤيد
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-191-fa.txt,,هو الله اي ياران و اماء رحمن جناب آقا سيد مهدي در هر چندي نامه‌اي نگارند و اسمايي به
Abdu'l-Bahá,مجموعه مناجاتها حضرت عبدالبهاء,abdulbaha-monajat-247-ar.txt,,هو الله اي داناي راز اين بنده پر عجز و نياز را به تأييد و توفيق خويش همدم و
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-226-fa.txt,,هو الابهي اي امة‌الله حمد كن حضرت احديت را كه ترا به معين حيات هدايت فرمود و به راه
Abdu'l-Bahá,۶ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha6-577-fa.txt,,و اما معني آيه مباركه يجعل الله بعد عسر يسرا اينست كه هر وقت امتحانات شديده ظاهر شد احباي
Abdu'l-Bahá,۱ منتخباتى از مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mmha1-117-fa.txt,,اي عزيز عبدالبهآء پسر آن پدر باش و ثمر آن شجر زاده عنصر جان و دل او باش نه
Abdu'l-Bahá,۲ مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mha2-75-fa.txt,,هو الله اي ياران روحاني عبدالبهاء مدتي بود كه از اختلاف و عدم ايتلاف احبا در مدينة الله قلب
Abdu'l-Bahá,مجموعه مناجاتها حضرت عبدالبهاء,abdulbaha-monajat-347-ar.txt,,هو الابهي أي رب تراني مقصوص الأباهر مكسور الجناح متعسر الأحشاء مرتعد الأعضاء بما ورد علي سهام الجفاء من
Abdu'l-Bahá,۳ مكاتيب حضرت عبدالبهاء جلد,abdulbaha-mha3-159-fa.txt,,هولاند جناب مستر ١ ١ وان ريذكز - مهندس سندم عليه التحية و الثناء هوالله اي حقيقت جو شخص
